[2012-11-13T11:23:01:385 (IST)] INFO  patio.Database       - Executing; DESCRIBE `experiments`
[2012-11-13T11:23:01:424 (IST)] INFO  patio.Database       - Executing; DESCRIBE `variations`
[2012-11-13T11:23:01:454 (IST)] INFO  patio.Database       - Executing; DESCRIBE `links`
[2012-11-13T11:26:24:459 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE ((`user_id` = '1') AND (`name` = 'abcde')) ORDER BY `id` DESC LIMIT 10
[2012-11-13T11:26:24:471 (IST)] INFO  patio.Database       - Executing; BEGIN
[2012-11-13T11:26:24:479 (IST)] INFO  patio.Database       - Executing; INSERT INTO `experiments` (`user_id`, `name`, `created_at`) VALUES (1, 'abcde', '2012-11-13 11:26:24')
[2012-11-13T11:26:24:489 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE (`id` = 1) LIMIT 1
[2012-11-13T11:26:24:506 (IST)] INFO  patio.Database       - Executing; COMMIT
[2012-11-13T11:26:24:535 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE ((`user_id` = '1') AND (`name` = 'abcd')) ORDER BY `id` DESC LIMIT 10
[2012-11-13T11:26:24:540 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE ((`user_id` = '2') AND (`name` = 'abcde')) ORDER BY `id` DESC LIMIT 10
[2012-11-13T11:26:24:544 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE ((`user_id` = '1') AND (`name` = 'abcde')) ORDER BY `id` DESC LIMIT 10
[2012-11-13T11:26:24:566 (IST)] INFO  patio.Database       - Executing; BEGIN
[2012-11-13T11:26:24:581 (IST)] INFO  patio.Database       - Executing; INSERT INTO `experiments` (`user_id`, `name`, `created_at`) VALUES (1, 'abcd', '2012-11-13 11:26:24')
[2012-11-13T11:26:24:593 (IST)] INFO  patio.Database       - Executing; INSERT INTO `experiments` (`user_id`, `name`, `created_at`) VALUES (2, 'abcde', '2012-11-13 11:26:24')
[2012-11-13T11:26:24:602 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE (`id` = 2) LIMIT 1
[2012-11-13T11:26:24:609 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE (`id` = 3) LIMIT 1
[2012-11-13T11:26:24:619 (IST)] INFO  patio.Database       - Executing; COMMIT
[2012-11-13T11:26:24:639 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE (`id` = '1000') LIMIT 1
[2012-11-13T11:26:24:642 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE (`id` = '1') LIMIT 1
[2012-11-13T11:26:24:663 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE (`id` = '1000') LIMIT 1
[2012-11-13T11:26:24:674 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE (`id` = '1') LIMIT 1
[2012-11-13T11:26:24:678 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE (`id` = '1') LIMIT 1
[2012-11-13T11:26:24:697 (IST)] INFO  patio.Database       - Executing; SELECT * FROM `experiments` WHERE ((`user_id` = '1') AND (`name` = 'abc')) ORDER BY `id` DESC LIMIT 10
